date_year,date_month,H0,H3,H6,H9,H12,recession
2000,2,1.15136781197699e-14,1.10312056725456e-09,4.19829766144389e-07,4.82044321866446e-05,0.0020248474808629,0
2000,3,4.99819529674636e-15,2.10017265274285e-10,2.27416248993759e-07,9.62790712305649e-06,0.000901305198752688,0
2000,4,3.36208454789997e-15,6.19986473745104e-11,2.58116534055324e-07,5.74692963934124e-06,0.000768308989192624,0
2000,5,7.27893504721132e-15,2.27014884155799e-10,1.12582609306431e-07,1.19638360144316e-05,0.000383457075267812,0
2000,6,6.19351454117877e-13,7.29591629564086e-11,2.1617712379766e-08,7.82042011333287e-06,0.000118524932653893,0
2000,7,9.77476776808996e-12,5.59943777472712e-11,8.97163997662468e-09,1.01879062818952e-05,9.72465339286525e-05,0
2000,8,4.47092393221267e-10,1.23958765648193e-10,1.90551906638962e-08,2.13493781612368e-06,0.000313598386101303,0
2000,9,4.5372748442532e-09,3.23128482890943e-09,8.61992660974327e-09,6.57186989073064e-07,0.000199528397712864,0
2000,10,2.7760112834857e-06,3.8797422604789e-08,1.00249088873018e-08,3.24781208058574e-07,0.000183518141959407,0
2000,11,0.000237227898407117,1.38132765216459e-06,3.3342957735328e-08,8.26403966696234e-07,5.3386128872313e-05,0
2000,12,0.203814995578566,1.14582315661998e-05,2.89714229904733e-07,3.71877101478309e-07,1.87332051920113e-05,0
2001,1,0.999427454980219,0.0033837873204819,4.9656806876786e-06,1.22866254426052e-06,1.83565162351134e-05,0
2001,2,0.999999984140359,0.0892794957202811,6.38160049367573e-05,1.99228439790286e-06,2.83205504441361e-05,0
2001,3,0.999999999990735,0.990644168113188,0.000504667185386031,8.81329218999453e-06,1.04661769097408e-05,0
2001,4,0.999999999999744,0.999995748376662,0.0294295023265163,8.88695128562484e-05,2.32406531797095e-05,1
2001,5,0.99999999999892,0.999999854010081,0.432483206546751,0.000794564034442935,4.66509423310938e-05,1
2001,6,0.999999999998352,0.999999999326675,0.998512665806498,0.00463571195508765,8.62820112354632e-05,1
2001,7,0.99999999996588,0.999999999689919,0.999979348371553,0.0447320142514899,0.000471410201596532,1
2001,8,0.999999996249883,0.999999994972526,0.999996906840986,0.424988210197854,0.00299070912999161,1
2001,9,0.999999999585796,0.999999986117345,0.999999933116458,0.994291436414406,0.0181976102798807,1
2001,10,0.999999999952195,0.9999997479532,0.9999998430318,0.999926502018534,0.125867274497314,1
2001,11,0.999999999221629,0.999987130679504,0.999992642795057,0.999952559387664,0.641568640240461,1
2001,12,0.999999742468196,0.999993129086278,0.999868582091605,0.999969202451804,0.993016167248571,0
2002,1,0.999885219407218,0.999983935291415,0.99861297582061,0.999941616387669,0.99972818259863,0
2002,2,0.511246399881753,0.998769454419181,0.969742228037131,0.995285086980876,0.999753430421725,0
2002,3,0.000464232646378004,0.898594930438845,0.994311941304861,0.984934588293759,0.999788966426642,0
2002,4,1.81574387709711e-07,0.00738261629232817,0.862504023221497,0.902589946081521,0.999386842867267,0
2002,5,3.96470733808575e-08,1.78854378980303e-07,0.0345107979959868,0.585302077532365,0.992054745215227,0
2002,6,3.34824767454617e-10,7.6091496319471e-10,8.57552946337728e-07,0.041312016994359,0.968525225097768,0
2002,7,4.50808757179075e-09,2.16303767590258e-10,5.18177224987355e-09,8.76951736455448e-05,0.831058923354378,0
2002,8,5.03423559655937e-10,6.54916274053749e-11,3.48659887287886e-10,2.10475617376664e-07,0.358043387938746,0
2002,9,5.03166670673042e-10,1.6797018087466e-12,3.18339968992362e-12,8.3169863349113e-10,0.00381804336805221,0
2002,10,1.37950073181059e-09,8.39380433993347e-12,2.3285898693599e-13,8.81088949561384e-12,3.6809977278694e-07,0
2002,11,3.98896688876171e-09,3.70431538763276e-12,7.30616067215948e-14,4.31781015397956e-12,2.58495430275485e-09,0
2002,12,3.06822126224585e-09,2.61816397123318e-11,1.5047151521056e-14,1.52728066206829e-13,4.41828221811401e-11,0
2003,1,1.07290823774079e-09,4.71492959502615e-10,3.45307810234356e-13,2.62015030180168e-14,2.27410995832449e-12,0
2003,2,1.77351635960744e-08,1.9140918062395e-10,6.25202893197422e-13,1.28922545522479e-14,1.05299923136802e-11,0
2003,3,1.93834887098338e-07,1.89858483297379e-10,6.04511248614946e-12,3.1667739260668e-15,9.2329846856103e-13,0
2003,4,3.60870916269587e-07,6.51090384077755e-12,3.46579355184247e-12,1.83946828335058e-15,3.02248975694173e-14,0
2003,5,1.68518782888958e-06,1.0906641298639e-10,2.05563714113721e-12,9.1017692362778e-15,6.24587883382118e-16,0
2003,6,5.38757427398576e-07,1.65569178711759e-10,1.541500647673e-12,6.87931837978338e-14,2.14719321069286e-16,0
2003,7,5.84682397948411e-08,7.51336543568914e-10,9.56581930256767e-13,2.21677993864517e-13,9.67602992831222e-17,0
2003,8,2.66503484910527e-10,9.63504195113733e-10,1.33460786916578e-11,2.19914841363842e-13,2.48614872354554e-15,0
2003,9,3.50534309235028e-12,6.7343073897964e-10,2.06994477407496e-11,1.07720760879305e-12,9.06812091606248e-14,0
2003,10,6.6446548598612e-14,2.10149068079964e-10,1.68255513350877e-11,4.0590951476931e-13,1.93060939112507e-13,0
2003,11,2.04957437503487e-16,4.24859299449256e-12,3.3210997101523e-12,1.38373966134678e-13,4.74530220858028e-14,0
2003,12,1.04520030670235e-18,2.21239691210744e-13,6.15108544574865e-12,1.90783221915215e-13,9.8041437612011e-14,0
2004,1,3.76633702877356e-21,3.66030158488228e-15,7.64429777372897e-13,5.04115819158355e-13,6.57039383310282e-14,0
2004,2,1.47511795338012e-22,6.36463445415574e-17,4.53815892212408e-14,1.03462980716469e-13,2.37622242849609e-14,0
2004,3,3.24176308295525e-24,1.00075697437461e-18,6.08241074985922e-15,2.55050949261105e-13,4.43207204750599e-14,0
2004,4,2.87434529244762e-25,8.35384682398119e-20,8.19158404374724e-16,1.28137615327512e-13,7.74821138415905e-13,0
